policy_id;policy_tenure;age_of_car;age_of_policyholder;area_cluster;population_density;make;segment;model;fuel_type;max_torque;max_power;engine_type;airbags;is_esc;is_adjustable_steering;is_tpms;is_parking_sensors;is_parking_camera;rear_brakes_type;displacement;cylinder;transmission_type;gear_box;steering_type;turning_radius;length;width;height;gross_weight;is_front_fog_lights;is_rear_window_wiper;is_rear_window_washer;is_rear_window_defogger;is_brake_assist;is_power_door_locks;is_central_locking;is_power_steering;is_driver_seat_height_adjustable;is_day_night_rear_view_mirror;is_ecw;is_speed_alert;ncap_rating;is_claim
ID49886;0.502422056960394;0.1;0.480769230769231;C2;27003;5;C1;M9;Diesel;200Nm@1750rpm;97.89bhp@3600rpm;i-DTEC;2;No;Yes;No;Yes;Yes;Drum;1498;4;Manual;5;Electric;4.9;3995;1695;1501;1051;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;4;0
ID56876;0.081530273586026;0.14;0.336538461538461;C2;27003;2;A;M3;Petrol;91Nm@4250rpm;67.06bhp@5500rpm;1.0 SCe;2;No;No;No;No;Yes;Drum;999;3;Automatic;5;Electric;5.0;3731;1579;1490;1155;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;2;0
ID37780;0.711380075704763;0.16;0.307692307692308;C11;6108;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID28424;0.091208757239775;0.14;0.365384615384615;C1;4990;4;B2;M5;Diesel;200Nm@3000rpm;88.77bhp@4000rpm;1.5 Turbocharged Revotorq;2;No;Yes;No;Yes;No;Drum;1497;4;Manual;5;Electric;5.0;3990;1755;1523;1490;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;5;0
 ID42411;0.593766977189341;0.11;0.288461538461538;C8;8794;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;1
ID01922;0.011697589579701;0.01;0.298076923076923;C3;4076;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID19878;0.490581952566346;0.03;0.490384615384615;C3;4076;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID48186;0.330658517969296;0.16;0.442307692307692;C8;8794;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID46217;0.085489315967684;0.03;0.384615384615385;C9;17804;5;C1;M9;Diesel;200Nm@1750rpm;97.89bhp@3600rpm;i-DTEC;2;No;Yes;No;Yes;Yes;Drum;1498;4;Manual;5;Electric;4.9;3995;1695;1501;1051;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;4;0
ID16315;0.875134980547877;0.02;0.288461538461538;C9;17804;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID51424;0.087914195033481;0.07;0.307692307692308;C2;27003;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID07366;1.22961304187128;0.03;0.663461538461538;C13;5410;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID40590;1.17275741268568;0.1;0.673076923076923;C2;27003;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID02221;1.19302480032387;0.03;0.480769230769231;C2;27003;5;C1;M9;Diesel;200Nm@1750rpm;97.89bhp@3600rpm;i-DTEC;2;No;Yes;No;Yes;Yes;Drum;1498;4;Manual;5;Electric;4.9;3995;1695;1501;1051;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;4;0
ID49809;0.714349282362363;0.03;0.461538461538462;C3;4076;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID17041;0.797113376462951;0.0;0.365384615384615;C3;4076;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID06799;0.53262390158216;0.01;0.615384615384615;C10;73430;3;C2;M4; Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID05244;0.372809590845959;0.05;0.317307692307692;C7;6112;1;B1;M8;CNG;82.1Nm@3400rpm;55.92bhp@5300rpm;K10C;2;No;No;No;Yes;No;Drum;998;3;Manual;5;Power;4.7;3655;1620;1675;1340;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;YES;2;1
ID17965;1.21219217894145;0.12;0.432692307692308;C5;34738;1;Utility;M10;CNG;85Nm@3000rpm;61.68bhp@6000rpm;G12B;1;No;No;No;Yes;No;Drum;1196;4;Manual;5;Manual;4.5;3675;1475;1825;1510;No;No;No;No;No;No;No;No;No;No;No;Yes;0;0
ID08001;0.144729948856965;0,02;0.730769230769231;C10;73430;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID55482;1.03028112164136;0.18;0.413461538461538;C6;13051;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID53139;1.23803581319382;0.08;0.634615384615385;C8;8794;2;A;M3;Petrol;91Nm@4250rpm;67.06bhp@5500rpm;1.0 SCe;2;No;No;No;No;Yes;Drum;999;3;Automatic;5;Electric;5.0;3731;1579;1490;1155;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;2;0
ID27553;0.416123468291488;0.0;0.759615384615385;C3;4076;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID02020;0.190315488828703;0.15;0.442307692307692;C9;17804;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID57676;1.16714544465231;0.11;0.336538461538461;C13;5410;1;B1;M8;CNG;82.1Nm@3400rpm;55.92bhp@5300rpm;K10C;2;No;No;No;Yes;No;Drum;998;3;Manual;5;Power;4.7;3655;1620;1675;1340;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;2;0
ID42582;0.009477016285164;0.01;0.673076923076923;C4;21622;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID17195;0.66168018718545;0.07;0.567307692307692;C9;17804;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID07576;0.249713561734098;0.0;0.519230769230769;C5;34738;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID07172;0.141047094455347;0.13;0.307692307692308;C8;8794;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID12257;1.21800444319759;0,18 ;0.317307692307692;C10;73430;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;1
ID19698;1.1365120037286;0.05;0.634615384615385;C5;34738;2;A;M3;Petrol;91Nm@4250rpm;67.06bhp@5500rpm;1.0 SCe;2;No;No;No;No;Yes;Drum;999;3;Automatic;5;Electric;5.0;3731;1579;1490;1155;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;2;0
ID01691;1.09714000519807;0.15;0.519230769230769;C8;8794;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID25998;0.098454461739496;0.06;0.403846153846154;C15;290;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID04026;0.093290834879388;0.12;0.451923076923077;C9;17804;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID44965;1.13425956436592;0.06;0.625;C8;8794;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID48995;0.092867313021429;0.06;0.548076923076923;C5;34738;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID03707;1.07152650358334;0.09;0.644230769230769;C2;27003;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID03162;0.044150803075102;0.05;0.644230769230769;C2;27003;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID28498;0.298724351477379;0.02;0.653846153846154;C21;3264;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID23720;0.852978333453463;0.02;0.471153846153846;C9;17804;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID26209;0.659421494711474;0.12;0.432692307692308;C8;8794;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID15309;1.11038883413181;0.14;0.528846153846154;C8;8794;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID04641;1.09645144833749;0.02;0.548076923076923;C8;8794;1;B1;M8;CNG;82.1Nm@3400rpm;55.92bhp@5300rpm;K10C;2;No;No;No;Yes;No;Drum;998;3;Manual;5;Power;4.7;3655;1620;1675;1340;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;2;1
ID58510;1.16517420428157;0.02;0.634615384615385;C11;6108;2;A;M3;Petrol;91Nm@4250rpm;67.06bhp@5500rpm;1.0 SCe;2;No;No;No;No;Yes;Drum;999;3;Automatic;5;Electric;5.0;3731;1579;1490;1155;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;2;1
ID07014;1.21910059605816;0.04;0.711538461538462;C9;17804;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID08246;0.807601503807636;0.14;0.509615384615385;C10;73430;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID10248;0.881385719837496;0.04;0.721153846153846;C3;4076;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID33191;1.10143058034677;0.02;0.5;C2;27003;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID11226;1.16684472277957;0.03;0.326923076923077;C2;27003;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID33753;1.05007632397662;0.1;0.471153846153846;C9;17804;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID45679;0.34317721579206;0.1;0.557692307692308;C2;27003;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID17301;0.284144970305156;0.14;0.394230769230769;C8;8794;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID38216;0.973237281727762;0.03;0.423076923076923;C5;34738;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID19452;0.375501936259062;0.03;0.336538461538461;C1;4990;1;A;M1;CNG;60Nm@3500rpm;40.36bhp@6000rpm;F8D Petrol Engine;2;No;No;No;Yes;No;Drum;796;3;Manual;5;Power;4.6;3445;1515;1475;1185;No;No;No;No;No;No;No;Yes;No;No;No;Yes;0;0
ID49753;1.10732522403662;0.2;0.567307692307692;C8;8794;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
ID30209;1.02883522424043;0.08;0.471153846153846;C14;7788;1;B1;M8;CNG;82.1Nm@3400rpm;55.92bhp@5300rpm;K10C;2;No;No;No;Yes;No;Drum;998;3;Manual;5;Power;4.7;3655;1620;1675;1340;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;2;0
ID54677;0.729365455444094;0.14;0.317307692307692;C7;6112;1;Utility;M10;CNG;85Nm@3000rpm;61.68bhp@6000rpm;G12B;1;No;No;No;Yes;No;Drum;1196;4;Manual;5;Manual;4.5;3675;1475;1825;1510;No;No;No;No;No;No;No;No;No;No;No;Yes;0;0
ID23517;1.20745144801533;0.21;0.692307692307692;C8;8794;3;C2;M4;Diesel;250Nm@2750rpm;113.45bhp@4000rpm;1.5 L U2 CRDi;6;Yes;Yes;Yes;Yes;Yes;Disc;1493;4;Automatic;6;Power;5.2;4300;1790;1635;1720;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;3;0
ID30816;0.315797839315105;0.13;0.375;C13;5410;1;B2;M7;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;1.2 L K Series Engine;6;Yes;Yes;No;Yes;Yes;Drum;1197;4;Automatic;5;Electric;4.85;3990;1745;1500;1410;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;0;0
ID15903;0.605347505865137;0.02;0.307692307692308;C2;27003;5;C1;M9;Diesel;200Nm@1750rpm;97.89bhp@3600rpm;i-DTEC;2;No;Yes;No;Yes;Yes;Drum;1498;4;Manual;5;Electric;4.9;3995;1695;1501;1051;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;4;0
ID26198;0.046804386856592;0.01;0.509615384615385;C2;27003;1;B1;M8;CNG;82.1Nm@3400rpm;55.92bhp@5300rpm;K10C;2;No;No;No;Yes;No;Drum;998;3;Manual;5;Power;4.7;3655;1620;1675;1340;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;2;0
ID34671;0.344229685194047;0.1;0.375;C2;27003;1;B2;M6;Petrol;113Nm@4400rpm;88.50bhp@6000rpm;K Series Dual jet;2;No;Yes;No;Yes;No;Drum;1197;4;Manual;5;Electric;4.8;3845;1735;1530;1335;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2;0
